,APN,RecordingNumber,RecordingDate,Description,DeedRestrictionStatus,DeedRestrictionType,ProjectAreaFileNumber
406,015-012-27,1999-0001876-00,01/12/1999,"This is an amendment to the deed restriction for subdivision of low cost housing (document #046510, Book 4767, Pages 544-548). The restriction that any residential units must be low cost housing as put forth in Deed Restriction document 046510, recorded in El Dorado County on 9/13/1996, does not apply to new construction on the Remainder Parcel, APN 015-410-001.",Recorded,Affordable Housing,19940815STD
3313,015-012-27,"Document 046510, Book 4767, Pages 544-548",09/13/1996,"The residential units on this parcel (15), if made available for rental or sale, shall be made available for rent or sale at a cost affordable to persons with incomes equal to or less than 120 percent of the El Dorado County median income.",Recorded,Affordable Housing,19940815STD
408,015-410-001,1999-0001876-00,01/12/1999,"This is an amendment to the deed restriction for subdivision of low cost housing (document #046510, Book 4767, Pages 544-548). The restriction that any residential units must be low cost housing as put forth in Deed Restriction document 046510, recorded in El Dorado County on 9/13/1996, does not apply to new construction on the Remainder Parcel, APN 015-410-001.",Recorded,Affordable Housing,19940815STD
3314,015-410-001,"Document 046510, Book 4767, Pages 544-548",09/13/1996,"The residential units on this parcel (15), if made available for rental or sale, shall be made available for rent or sale at a cost affordable to persons with incomes equal to or less than 120 percent of the El Dorado County median income.",Recorded,Affordable Housing,19940815STD
3330,015-420-016,"Document 046510, Book 4767, Pages 544-548",09/13/1996,"The residential units on this parcel (15), if made available for rental or sale, shall be made available for rent or sale at a cost affordable to persons with incomes equal to or less than 120 percent of the El Dorado County median income.",Recorded,Affordable Housing,19940815STD
410,015-420-016,1999-0001876-00,01/12/1999,"This is an amendment to the deed restriction for subdivision of low cost housing (document #046510, Book 4767, Pages 544-548). The restriction that any residential units must be low cost housing as put forth in Deed Restriction document 046510, recorded in El Dorado County on 9/13/1996, does not apply to new construction on the Remainder Parcel, APN 015-410-001.",Recorded,Affordable Housing,19940815STD
1461,032-291-028,2022-0035486,08/31/2022,"APN 032-291-028, Sugar Pine Village West Phase 1A, includes thirty (30) permanently restricted affordable multi-family housing units that shall not be used as vacation rentals. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.",Recorded,Affordable Housing,ERSP2020-1999-02
1540,032-291-028,2023-0022310,08/09/2023,Fifty-nine (59) residential units on APN 032-291-028 shall be permanently restricted to Affordable Housing and one unit (manager's unit) on the property shall be unrestricted. None of the 59 residential units shall be used as a vacation rental. Affordable housing is defined as incomes not in excess of 80 percent of the respective county's median income for lower-income households and not to exceed 50 percent of the respective county's median income for very low-income households. These restrictions shall be disclosed at the time of sale of the property. Annual compliance reporting to TRPA is required.,Recorded,Affordable Housing,ERSP2020-1999-03
1177,094-090-063,2019-0029986-00,05/09/2019,"Recorded in Placer County, CA. Amended and restated deed restriction against APN 094-090-063 and recorded deed restriction #2018-0068917-00 dated 9/24/2018. The project has been revised to a total of ten (10) residential apartment units, eight (8) of which shall always be moderate income housing and two (2) will be market rate residential units. This amended and restated deed restriction reiterates and replaces the previous deed restriction (#2018-0068917-00 dated 9/24/2018) in its entirety. Moderate income housing is defined as: Deed restricted as a residential dwelling by permanent residents with an income not in excess of 120 percent of the respective county's median income. Such housing units shall be made available for rental or sale at a cost that does not exceed the recommended state and federal standards. Each county's median income will be determined according to the income limits published annually by the Department of Housing and Urban Development. ",Recorded,Moderate Income Housing,
1137,094-090-063,2018-0068917-00,09/24/2018,"Recorded in Placer County, CA. The nine (9) residential units located on APN 094-090-063 shall always be moderate income housing. Moderate income housing is defined as: deed restricted as a residential dwelling by permanent residents with an income not in excess of 120 percent of the respective county's median income. Such housing units shall be made available for rental or sale at a cost that does not exceed the recommended state and federal standards. Each county's median income will be determined according to the income limits published annually by the Department of Housing and Urban Development.",Recorded,Moderate Income Housing,
2262,124-911-01,4089673,03/02/2012,"Housing unit 104 (APN 124-912-02), an easement for ingress & egress, and the common area (APN 124-911-01), pursuant to TRPA permit #20030312STD, are permanently restricted to affordable housing or moderate income housing as defined in this deed restriction.",Recorded,Affordable Housing,20030312STD
2263,124-911-01,4089673,03/02/2012,"Housing unit 104 (APN 124-912-02), an easement for ingress & egress, and the common area (APN 124-911-01), pursuant to TRPA permit #20030312STD, are permanently restricted to affordable housing or moderate income housing as defined in this deed restriction.",Recorded,Moderate Income Housing,20030312STD
2266,124-911-01,4089674,03/02/2012,"Housing unit 203 (APN 124-912-03), an easement for ingress & egress, and the common area (APN 124-911-01), pursuant to TRPA permit #20030312STD, are permanently restricted to affordable housing or moderate income housing as defined in this deed restriction.",Recorded,Affordable Housing,20030312STD
