,File_Number,APN,Deed_Restriction_Type,Units,Date_Type,LTinfo_Transaction_ID,LTInfo_Deed_Restriction,DR_Desc,Center,Notes,Issued Date,Acknowledged Date,Pre-Grade Date,Finaled Date,RecordingNumber,RecordingDate,Description,DeedRestrictionStatus,DeedRestrictionType,ProjectAreaFileNumber,_merge
0,ERSP2022-1998,023-151-030,Achievable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2329,,,Non-Center,,2023-10-09,,,,,,,,,,left_only
1,20021919STD,023-162-017,Affordable,18.0,Constructed,,DOC-2005-0023565-00,The eighteen (18) residential units on this property are deed restricted as affordable housing.,OLD,Sky Forest Apartments ,2003-04-23,2005-04-14,2005-04-14,2005-04-14,DOC-2005-0023565-00,03/24/2005,The eighteen (18) residential units on this property are deed restricted as affordable housing.,Recorded,Affordable Housing,,both
2,ERSP2020-2084,023-231-003,Achievable,70.0,"Reserved, Application in review",TRPA-ALLOC-1333,,,Center,"Crossings at the ""Y"" South Lake Tahoe",,,,,,,,,,,left_only
3,19980083STD,023-393-031,Affordable,45.0,Constructed,,98-0009502-00,45 units on property must be occupied by persons of very low incomes who are 62 years in age or older.,OLD,Tahoe Senior Plaza,1998-04-27,1998-06-08,1998-06-11,1999-10-15,98-0009502-00,02/25/1998,45 units on property must be occupied by persons of very low incomes who are 62 years in age or older.,Recorded,Affordable Housing,,both
4,CORR2012-0143,023-632-005,Affordable,1.0,Constructed,,DOC-2011-0058156-00,City of South Lake Tahoe deed restriction restricting one of the residential units on the property as affordable housing as it received a bonus unit. The unit must be rented to lower income persons.,OLD,800 Taylor Way,2012-02-15,2012-03-22,2012-03-22,2012-03-22,DOC-2011-0058156-00,12/07/2011,City of South Lake Tahoe deed restriction restricting one of the residential units on the property as affordable housing as it received a bonus unit. The unit must be rented to lower income persons.,Recorded,Affordable Housing,,both
5,ERSP2022-2018,023-655-012,Achievable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2119,2023-0008087,The accessory dwelling unit (ADU) on APN 023-655-012 is permanently restricted to Achievable Area Median Income housing and shall not be used as a vacation rental.  See recorded deed restriction for formula for calculating El Dorado County's achievable area median income percentage.,Non-Center,,2023-04-19,,,,2023-0008087,03/22/2023,The accessory dwelling unit (ADU) on APN 023-655-012 is permanently restricted to Achievable Area Median Income housing and shall not be used as a vacation rental.  See recorded deed restriction for formula for calculating El Dorado County's achievable area median income percentage.,Recorded,Achievable Housing,ERSP2022-2018,both
6,ERSP2022-1992,025-041-023,Affordable,19.0,"Permitted, Not Constructed",TRPA-ALLOC-1871,2023-0013218,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Local Jurisdiction Pool,LTCC Dorms,2023-03-22,2023-05-17,2023-05-18,,2023-0013218,05/12/2023,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Recorded,Achievable Housing,ERSP2022-1992,both
7,ERSP2022-1992,025-041-023,Affordable,19.0,"Permitted, Not Constructed",TRPA-ALLOC-1871,2023-0013218,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Local Jurisdiction Pool,LTCC Dorms,2023-03-22,2023-05-17,2023-05-18,,2023-0013218,05/12/2023,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Recorded,Affordable Housing,ERSP2022-1992,both
8,,025-041-023,Affordable,21.0,"Reserved, Application not submitted",TRPA-ALLOC-1872,,,Non-Center,"LTCC Dorms, Phase 2",,,,,2023-0013218,05/12/2023,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Recorded,Achievable Housing,ERSP2022-1992,both
9,,025-041-023,Affordable,21.0,"Reserved, Application not submitted",TRPA-ALLOC-1872,,,Non-Center,"LTCC Dorms, Phase 2",,,,,2023-0013218,05/12/2023,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Recorded,Affordable Housing,ERSP2022-1992,both
10,ERSP2022-1992,025-041-023,Affordable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2274,2023-0013218,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Local Jurisdiction Pool,,2023-03-22,2023-05-17,2023-05-18,,2023-0013218,05/12/2023,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Recorded,Achievable Housing,ERSP2022-1992,both
11,ERSP2022-1992,025-041-023,Affordable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2274,2023-0013218,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Local Jurisdiction Pool,,2023-03-22,2023-05-17,2023-05-18,,2023-0013218,05/12/2023,"To partially satisfy TRPA's March 22, 2023, conditions of approval, the 33-unit/100 bed facility on APN 025-041-043 shall be permanently restricted as Affordable Housing and the resident director office/apartment shall be permanently restricted to Achievable Housing and shall not be used as a second home or vacation rental.",Recorded,Affordable Housing,ERSP2022-1992,both
12,19911592STD ,025-241-012,Affordable,28.0,Constructed,,Doc# 014391,Deed restriction documenting a 28 unit affordable housing complex on the property.  11 units are designated as HOME-assisted units.,OLD,Tahoe Pines Apartments,1994-05-04,1994-05-12,1994-05-12,2012-08-16,"Doc# 014391, Book 4657, Page 567",03/25/1996,Deed restriction documenting a 28 unit affordable housing complex on the property.  11 units are designated as HOME-assisted units.,Recorded,Affordable Housing,,both
13,CORR2010-0553,025-393-025,Affordable,1.0,Constructed,,DOC-2009-0047796-00,City of South Lake Tahoe deed restriction. One of the two units on this parcel is deed restricted affordable housing and must be rented to lower income persons.,OLD,226 Becka Drive.,2010-08-26,2010-09-30,2010-09-30,2010-09-30,DOC-2009-0047796-00,09/22/2009,City of South Lake Tahoe deed restriction. One of the two units on this parcel is deed restricted affordable housing and must be rented to lower income persons.,Recorded,Affordable Housing,,both
14,20061455STD  ,025-510-002,Affordable,32.0,Constructed,,DOC-2008-0019379-00,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,OLD,Kelly Ridge Apartments,2008-02-27,2008-05-21,2008-05-29,2013-09-04,DOC-2008-0019379-00,04/24/2008,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,Recorded,Affordable Housing,,both
15,20061455STD  ,025-510-002,Affordable,32.0,Constructed,,DOC-2008-0019379-00,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,OLD,Kelly Ridge Apartments,2008-02-27,2008-05-21,2008-05-29,2013-09-04,DOC-2008-0019379-00,04/24/2008,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,Recorded,Moderate Income Housing,,both
16,20061455STD  ,025-510-002,Moderate,1.0,Constructed,,DOC-2008-0019379-00,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,OLD,Kelly Ridge Apartments,2008-02-27,2008-05-21,2008-05-29,2013-09-04,DOC-2008-0019379-00,04/24/2008,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,Recorded,Affordable Housing,,both
17,20061455STD  ,025-510-002,Moderate,1.0,Constructed,,DOC-2008-0019379-00,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,OLD,Kelly Ridge Apartments,2008-02-27,2008-05-21,2008-05-29,2013-09-04,DOC-2008-0019379-00,04/24/2008,32 of the units are senior (62 years in age or older) affordable housing and one unit (manager's unit) is deed restricted as moderate-income housing.,Recorded,Moderate Income Housing,,both
18,21030151,026-082-013,Moderate,1.0,Constructed,TRPA-ALLOC-1259,,,Non-Center,,2022-02-14,2022-02-14,2022-02-14,2023-03-16,,,,,,,left_only
19,21030150,026-082-014,Moderate,1.0,Constructed,TRPA-ALLOC-1260,,,Non-Center,,2022-02-14,2022-02-14,2022-02-14,2023-03-02,,,,,,,left_only
20,21040011,026-082-015,Moderate,1.0,Constructed,TRPA-ALLOC-1261,,,Non-Center,,2022-02-14,2022-02-14,2022-02-14,2023-03-02,,,,,,,left_only
21,ERSP2022-0257,026-094-026,Achievable,1.0,Constructed,TRPA-ALLOC-1887,2022-0017686,One residential unit on APN 026-094-026 shall be permanently restricted to Achievable Area Median Income Housing and shall not be used as a vacation rental. An annual compliance report must be submitted to TRPA annually.,Non-Center,,2022-04-27,2022-04-27,2022-07-19,2022-07-19,2022-0017686,04/18/2022,One residential unit on APN 026-094-026 shall be permanently restricted to Achievable Area Median Income Housing and shall not be used as a vacation rental. An annual compliance report must be submitted to TRPA annually.,Recorded,Achievable Housing,ERSP2022-0257,both
22,ERSP2022-1314,026-152-002,Affordable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2345,,,Non-Center,,2022-09-22,,,,,,,,,,left_only
23,CORR2008-0313,026-262-010,Affordable,1.0,Constructed,,2009-0041847-00,The legalized rental unit may only be utilized as affordable housing and rented to lower income persons.,OLD,961 Tulare Ave.,2010-09-21,2011-02-02,2011-02-02,2011-02-02,2009-0041847-00,08/17/2009,The legalized rental unit may only be utilized as affordable housing and rented to lower income persons.,Recorded,Affordable Housing,,both
24,ERSP2009-0479,027-323-019,Affordable,47.0,Constructed,,DOC-2013-0011131-00,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,OLD,The Aspens,2010-01-04,2013-04-02,2013-05-02,2014-09-29,DOC-2013-0011131-00,03/05/2013,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,Recorded,Affordable Housing,ERSP2009-0479,both
25,ERSP2009-0479,027-323-019,Affordable,47.0,Constructed,,DOC-2013-0011131-00,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,OLD,The Aspens,2010-01-04,2013-04-02,2013-05-02,2014-09-29,DOC-2013-0011131-00,03/05/2013,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,Recorded,Moderate Income Housing,ERSP2009-0479,both
26,ERSP2009-0479,027-323-019,Moderate,1.0,Constructed,,DOC-2013-0011131-00,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,OLD,The Aspens,2010-01-04,2013-04-02,2013-05-02,2014-09-29,DOC-2013-0011131-00,03/05/2013,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,Recorded,Affordable Housing,ERSP2009-0479,both
27,ERSP2009-0479,027-323-019,Moderate,1.0,Constructed,,DOC-2013-0011131-00,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,OLD,The Aspens,2010-01-04,2013-04-02,2013-05-02,2014-09-29,DOC-2013-0011131-00,03/05/2013,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,Recorded,Moderate Income Housing,ERSP2009-0479,both
28,,027-323-019,Affordable,8.0,"Reserved, Application not submitted",,DOC-2013-0011131-00,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,OLD,The Aspens,,,,,DOC-2013-0011131-00,03/05/2013,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,Recorded,Affordable Housing,ERSP2009-0479,both
29,,027-323-019,Affordable,8.0,"Reserved, Application not submitted",,DOC-2013-0011131-00,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,OLD,The Aspens,,,,,DOC-2013-0011131-00,03/05/2013,Deed restriction on property requiring that 55 residential units on the property shall be treated as affordable housing and one unit treated as moderate income housing.,Recorded,Moderate Income Housing,ERSP2009-0479,both
30,20041142MOU,031-094-024,Affordable,1.0,Constructed,,DOC-2004-0056385-00,"One unit on the property known as the ""downstairs unit"" may only be utilized as affordable housing and rented to lower income persons. ",OLD,1064 Marjorie,2004-07-07,2004-07-14,2004-07-14,2004-07-14,DOC-2004-0056385-00,07/14/2004,"One unit on the property known as the ""downstairs unit"" may only be utilized as affordable housing and rented to lower income persons. ",Recorded,Affordable Housing,,both
31,ERSP2022-1407,031-172-011,Achievable,1.0,"Permitted, Not Constructed",TRPA-ALLOC-2026,2022-0040687,One (1) residential unit on APN 031-172-011 shall be permanently restricted to Achievable Area Median Income housing and shall not be used as a vacation rental or second residence.  See recorded deed restriction for formula for calculating El Dorado County's achievable area median income percentage. An annual compliance report must be submitted to TRPA.,Non-Center,,2022-10-05,,,,2022-0040687,10/17/2022,One (1) residential unit on APN 031-172-011 shall be permanently restricted to Achievable Area Median Income housing and shall not be used as a vacation rental or second residence.  See recorded deed restriction for formula for calculating El Dorado County's achievable area median income percentage. An annual compliance report must be submitted to TRPA.,Recorded,Achievable Housing,ERSP2022-1407,both
32,ERSP2020-1763,031-290-012,Achievable,20.0,"Permitted, Not Constructed",TRPA-ALLOC-1334,,,Non-Center,Silver Dollar,2021-09-15,,,,,,,,,,left_only
