APN,Year,apn_in_fc_other_years
014-284-005,2017,True
014-302-015,2017,True
015-061-013,2024,True
015-061-013,2025,True
015-062-021,2016,True
015-062-021,2017,True
015-104-009,2018,False
015-104-009,2019,False
015-104-009,2020,False
015-104-009,2021,False
015-104-009,2022,False
015-104-009,2023,False
015-104-009,2024,False
015-104-009,2025,False
015-264-017,2018,False
015-264-017,2019,False
015-264-017,2020,False
015-264-017,2021,False
015-264-017,2022,False
015-264-017,2023,False
015-264-017,2024,False
015-264-017,2025,False
015-264-17,2012,True
015-264-17,2014,True
015-264-17,2015,True
015-264-17,2016,True
015-264-17,2017,True
015-301-002,2021,True
015-301-002,2022,True
015-301-002,2023,True
015-301-002,2024,True
015-301-002,2025,True
015-301-003,2021,True
015-301-003,2022,True
015-301-003,2023,True
015-301-003,2024,True
015-301-003,2025,True
015-304-031,2018,False
015-304-031,2019,False
015-304-031,2020,False
015-304-031,2021,False
015-304-031,2022,False
015-304-031,2023,False
015-304-031,2024,False
015-304-031,2025,False
015-304-31,2012,True
015-304-31,2015,True
015-304-31,2016,True
015-304-31,2017,True
015-322-28,2013,True
015-370-011,2021,True
015-370-011,2022,True
015-370-011,2023,True
015-370-011,2024,True
015-370-011,2025,True
015-370-023,2019,True
015-370-023,2020,True
015-370-023,2021,True
015-370-023,2022,True
015-370-023,2023,True
015-370-023,2024,True
015-370-023,2025,True
016-081-042,2018,False
016-081-042,2019,False
016-081-042,2020,False
016-081-042,2021,False
016-081-042,2022,False
016-081-042,2023,False
016-081-042,2024,False
016-081-042,2025,False
016-081-043,2018,False
016-081-043,2019,False
016-081-043,2020,False
016-081-043,2021,False
016-081-043,2022,False
016-081-043,2023,False
016-081-043,2024,False
016-081-043,2025,False
016-081-42,2017,True
016-081-43,2017,True
016-091-042,2018,False
016-091-042,2019,False
016-091-042,2020,False
016-091-042,2021,False
016-091-042,2022,False
016-091-042,2023,False
016-091-042,2024,False
016-091-042,2025,False
016-091-42,2012,False
016-091-42,2013,False
016-091-42,2014,False
016-091-42,2015,False
016-091-42,2016,False
016-091-42,2017,False
016-101-014,2019,True
016-101-014,2020,True
016-101-014,2021,True
016-101-014,2022,True
016-101-014,2023,True
016-101-014,2024,True
016-101-014,2025,True
016-131-007,2017,True
016-211-16,2013,True
016-211-17,2013,True
016-300-057,2018,False
016-300-057,2019,False
016-300-057,2020,False
016-300-057,2021,False
016-300-057,2022,False
016-300-057,2023,False
016-300-057,2024,False
016-300-057,2025,False
016-300-57,2012,False
016-300-57,2013,False
016-300-57,2014,False
016-300-57,2015,False
016-300-57,2016,False
016-300-57,2017,False
016-300-63,2013,True
