Permit #,Parcel #,Record Type,Project Name,Status,Opened,Number,Dir,Street Name,Type,Description,Project Office,Type of Work,Scope of Work,Issue Date,Base Allowable Coverage,Total Existing Coverage,Total Allowable Coverage,Total Proposed Coverage,Excess Coverage,Remaining Coverage,Transferred Coverage,New On-Site Coverage,Existing Off-Site Cov.,New Off-site Coverage,Coverage Exemp. Allow.,Coverage Exemption Taken,Deck Exemption Allowed,Deck Exemption Taken(sf),Pervious Coverage,Non Permanent Structure,Allocation,Allocation Number,Project/Parcel Size,Bailey Land Class(es),IPES,Coverage Percent,SEZ,Scenic,Historic Resource,Historic Resource (Date),Date Issued,PreGrade Inspection Date,Date Final Inspection,Date Completed,Payment for Application Fee,Payment for Security,Payment for WQMF,Payment for AQMF,Payment for OSMF,Payment for ECMF,SERV_PROV_CODE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3
TRP23-90029,090-191-022-000,Residential Verification-Site Assessment,210 Fox Street - Multi-Family,Complete,4/12/2023,8721,,MINNOW,AVE,"The property located at 210 Fox Street/8721 Minnow Avenue (APNs 090-191-022 & -023) contains an existing multi-family residential project. The property owners engaged in several unpermitted construction actions in recent history and are now working to rectify the situation with a retroactive permitting process. One of the necessary steps to complete this retroactive permitting process is a new coverage verification, as the compacted dirt pathways on the property were not verified as existing coverage in the original Site Assessment (Placer County File No. PTRP2012009).",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,003E8
TRP23-90030,117-130-036-000,Residential Building TRPA Project,O'Farrell-Principe / Addition,Issued,4/14/2023,7422,N,LAKE,BLVD,"TRPA Project @ MOU (See email in Docs stating that we can do the review)

Demo and rebuild living space:
Demo existing one-story structure and the rebuild a two-story structure including an entry, suite, powder room, and mudroom.

Rebuilt Living----------------668sf
New Living--------------------447sf
Covered Porch---------------220sf",Tahoe,Addition,Residential Addition > 3000,3/20/2024,,3824,1563,3813,2269,11,0,0,340,0,736,No,368,0,0,0,N/A,,7358,,,1 and 25,no,"roadway #20A, VISIBLE",No,1/1/1950,,,,,$808.33,"$2,500.00",,,,$850.00,PLACERCO,23CAP,00000,003HE
TRP23-90031,098-032-009-000,Residential Building TRPA Project,Landes - Teardown/Rebuild,Final Processing,4/19/2023,6140,,MCKINNEY,DR,"Outsourced to Shums Coda for Plan Review.

TRPA Project @ TRPA (Shorezone)

THE EXISTING RESIDENCE IS TO BE DEMOLISHED AND A NEW SINGLE FAMILY RESIDENCE IS TO BE CONSTRUCTED USING WOOD FRAMED WALLS SHEATHED WITH WOOD
STRUCTURAL PANELS, ON A SHALLOW SPREAD CONCRETE FOUNDATION

Living Area-------------------4705 sf
Garage/Storage--------------753 sf
Uncovered Deck-------------341 sf
Covered Deck----------------763 sf
Verified by Shums Coda 5-15-23

SPECIAL INSPECTION & TESTING AGREEMENT REQUIRED
625: SPA - 1",Tahoe,New,Single Family > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,003NH
TRP23-90033,097-092-009-000,Residential Building TRPA Project,Paulsin-Cates - New SFD,Corrections Required,4/20/2023,4946,,SACRAMENTO,AVE,"TRPA  MOU PROJECT

Living Area-------------------768sf
Garage/Storage-------------768sf

No county maintenance on this block of Sacramento Avenue; no encroachment permit needed.",Tahoe,New,Single Family > 3000,,,0,4655,3899,0,756,0,3899,0,459,1940,No,970,0,0,0,,,19395,,,24,N/A,"roadway #11, not visible",N/A,,,,,,,,,,,,PLACERCO,23CAP,00000,003PS
TRP23-90034,094-222-011-000,Residential Building TRPA Project,DEATSCH-DECK REBUILD,Corrections Required,4/25/2023,550,,VIRGINIA,DR,"TRPA MOU Project  

Rebuild of deck, existing unpermitted deck is 193 sq ft.  New deck to be approx. 391 sq ft. New deck to be built per structural engineered plans.

Future hot tub to be on separate permit or submitted as a Plan Revision to this permit.",Tahoe,Rebuild,Residential Rebuild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,003WI
TRP23-90036,115-040-079-000,Residential Building TRPA Project,Segal - Deck Reconstruction,Final Processing,4/26/2023,320,,OLIVE,ST,"TRPA MOU Project

DO NOT FINAL until after TRP23-90017 has a TRPA final inspection for coverage removal and revegetation to ensure compliance with the project area coverage calculations. Lot coverage is calculated in tandem with the lot next door (330 Olive APN 115-040-080). 

Demolition of an existing deck and temporary structures to conform to the proposed property boundary and setbacks, removing and restoring existing coverage via revegetation of existing compacted dirt drive, and the structural repair of an existing 200SF deck due to snow damage.

Deck WUI listing # 8110-2041:0002

REVISION 8/18/23 JGC: Addition of a new 60sf deck and stair to the second floor. Addition of a new entry roof to the already submitted entry deck.",Tahoe,Rebuild,Residential Rebuild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,003ZH
TRP23-90037,093-112-003-000,Residential Building TRPA Project,Jesberg - Addition,Issued,4/28/2023,115,,TAHOMA,AVE,"TRPA MOU Project

GARAGE ADDITION WITH A MUDROOM, LANDSCAPED ENTRY TERRACE AND BATHROOM

Living--------------449sf
Garage------------327sf
Remodel----------300sf
Deck---------------476sf

Special Inspection Required for post installed anchors and seismic- resisting system
Structural Observation Required

REVISIONS received: remove proposed entry gable. New roof area to be flat low slope to match existing roof. Proposed skylights removed and replaced with solar tubes. New interior walls at entry added. Finalized exterior materials and entry door. GG 12/15/2023 GG",Tahoe,Addition,Residential Addition > 3000,8/29/2023,,3367,2904,3365,463,0,0,0,501,-310,1162,Yes,581,447,176,0,N/A,,11617,,,25,no,"shoreline #16, visible",No,1/1/1980,,08/31/2023,,,$578.55,"$2,500.00",,,,"$3,935.50",PLACERCO,23CAP,00000,00440
TRP23-90038,116-040-014-000,Residential Building TRPA Project,Denney - Addition,Issued,4/29/2023,613,,TRIPOLI,RD,"TRPA Project @ Placer

Addition of an 81sf mud room at the main entrance of the home and new exterior stairs off the mud room.  Removal of existing second level deck and stairs and installation of a 510sf family room off the rear of the home.  Deck and stairs will be replaced above and adjacent to the new family room.

Living Area--------------------------------------591 sf
Uncovered Deck/Porch----------------------533 sf
Bathroom Addition/Remodel - 1

REVISION - 3/18/2024 - CHANGE OF THE EXISTING ROOF SYSTEM ON THE MAIN HOME AND ON THE NEW FAMILY ROOM FROM COMP SHINGLES WITH INSULATION BELOW TO A STANDING SEAM METAL ROOF WITH RIGID INSULATION ABOVE THE MAIN LEVE OF ROOF SHEATHING. RGH",Tahoe,Addition,Residential Addition > 3000,8/16/2023,,2106,3780,2566,0,425,0,460,643,0,1260,Yes,630,425,0,0,N/A,,12600,,,30,0,no,No,,,08/28/2023,,,$586.23,"$2,500.00",$855.60,,,,PLACERCO,23CAP,00000,0044V
TRP23-90039,117-090-039-000,Residential Building TRPA Project,Duggan - Addition,Issued,5/2/2023,7201,,PINO,AVE,"TRPA MOU Project 

The project includes the construction of a new bedroom suite addition to existing residence.

New Living Space--240 SF

Deferred submittal for gas line schematic. Docs uploaded and revisions tab open. 8.25.23 GG",Tahoe,Addition,Residential Addition > 3000,8/23/2023,,1706,1672,1798,126,0,86,92,336,0,529,No,274,0,0,0,N/A,,5286,,,30,no,"roadway #20A, not visible",No,1/1/1959,,09/11/2023,,,$182.01,"$2,500.00",,,,"$1,071.00",PLACERCO,23CAP,00000,004AB
TRP23-90040,093-310-007-000,Residential Building Qualified Exempt,Romano - Addition,Issued,5/3/2023,170,,MARLETTE,DR,"TRPA MOU QE

Residential building addition: Add living space above existing garage, rebuild decks

Living Area---------------------------571 sf
Garage/Storage----------------------34 sf
Garage Remodel--------------------352sf
Deck Rebuild-------------------------635sf
Covered Deck-------------------------36 sf


Deffered submittal: Gas line schematic",Tahoe,QE Structural Addition,Residential Addition > 3000,9/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$551.85,,,,,,PLACERCO,23CAP,00000,004HX
